"tick","Remaining Humans","Remaining Zombies"
1.0,50,5
2.0,50,5
3.0,50,5
4.0,50,5
5.0,50,5
6.0,50,5
7.0,50,5
8.0,50,5
9.0,49,6
10.0,48,7
11.0,48,7
12.0,47,8
13.0,47,8
14.0,47,8
15.0,46,9
16.0,46,9
17.0,46,9
18.0,45,10
19.0,44,11
20.0,43,12
21.0,43,12
22.0,43,12
23.0,43,12
24.0,42,13
25.0,42,13
26.0,42,13
27.0,42,13
28.0,42,13
29.0,42,13
30.0,42,13
31.0,40,15
32.0,39,16
33.0,39,16
34.0,39,16
35.0,38,17
36.0,38,17
37.0,38,17
38.0,38,17
39.0,38,17
40.0,38,17
41.0,38,17
42.0,37,18
43.0,36,19
44.0,36,19
45.0,35,20
46.0,35,20
47.0,35,20
48.0,35,20
49.0,35,20
50.0,35,20
51.0,35,20
52.0,33,22
53.0,33,22
54.0,33,22
55.0,32,23
56.0,32,23
57.0,32,23
58.0,32,23
59.0,32,23
60.0,31,24
61.0,31,24
62.0,31,24
63.0,31,24
64.0,31,24
